Fri Nov 13 09:40:01 CET 2015 09:40:01 up 22:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 09:50:01 CET 2015 09:50:01 up 22:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 10:00:01 CET 2015 10:00:01 up 22:36, 0 users, load average: 0.05, 0.03, 0.05
Fri Nov 13 10:10:01 CET 2015 10:10:01 up 22:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 10:20:01 CET 2015 10:20:01 up 22:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 10:30:01 CET 2015 10:30:01 up 23:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 10:40:01 CET 2015 10:40:01 up 23:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 10:50:01 CET 2015 10:50:01 up 23:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 11:00:01 CET 2015 11:00:01 up 23:36, 0 users, load average: 0.02, 0.02, 0.05
Fri Nov 13 11:10:01 CET 2015 11:10:01 up 23:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 11:20:01 CET 2015 11:20:01 up 23:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 11:30:01 CET 2015 11:30:01 up 1 day, 6 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 11:40:01 CET 2015 11:40:01 up 1 day, 16 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 11:50:01 CET 2015 11:50:01 up 1 day, 26 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 12:00:01 CET 2015 12:00:01 up 1 day, 36 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 12:10:01 CET 2015 12:10:01 up 1 day, 46 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 12:20:01 CET 2015 12:20:01 up 1 day, 56 min, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 12:30:01 CET 2015 12:30:01 up 1 day, 1:06, 0 users, load average: 0.06, 0.03, 0.05
Fri Nov 13 12:40:01 CET 2015 12:40:01 up 1 day, 1:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 12:50:01 CET 2015 12:50:01 up 1 day, 1:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 13:00:01 CET 2015 13:00:01 up 1 day, 1:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 13:10:01 CET 2015 13:10:01 up 1 day, 1:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 13:20:01 CET 2015 13:20:01 up 1 day, 1:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 13:30:01 CET 2015 13:30:01 up 1 day, 2:06, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 13:40:01 CET 2015 13:40:01 up 1 day, 2:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 13:50:01 CET 2015 13:50:01 up 1 day, 2:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 14:00:01 CET 2015 14:00:01 up 1 day, 2:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 14:10:01 CET 2015 14:10:01 up 1 day, 2:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 14:20:01 CET 2015 14:20:01 up 1 day, 2:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 14:30:01 CET 2015 14:30:01 up 1 day, 3:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 14:40:01 CET 2015 14:40:01 up 1 day, 3:16, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 14:50:01 CET 2015 14:50:01 up 1 day, 3:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 15:00:01 CET 2015 15:00:01 up 1 day, 3:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 15:10:01 CET 2015 15:10:01 up 1 day, 3:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 15:20:01 CET 2015 15:20:01 up 1 day, 3:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 15:30:01 CET 2015 15:30:01 up 1 day, 4:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 15:40:01 CET 2015 15:40:01 up 1 day, 4:16, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 15:50:01 CET 2015 15:50:01 up 1 day, 4:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 16:00:01 CET 2015 16:00:01 up 1 day, 4:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 16:10:01 CET 2015 16:10:01 up 1 day, 4:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 16:20:01 CET 2015 16:20:01 up 1 day, 4:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 16:30:01 CET 2015 16:30:01 up 1 day, 5:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 16:40:01 CET 2015 16:40:01 up 1 day, 5:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 16:50:01 CET 2015 16:50:01 up 1 day, 5:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 17:00:01 CET 2015 17:00:01 up 1 day, 5:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 17:10:01 CET 2015 17:10:01 up 1 day, 5:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 17:20:01 CET 2015 17:20:01 up 1 day, 5:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 17:30:01 CET 2015 17:30:01 up 1 day, 6:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 17:40:01 CET 2015 17:40:01 up 1 day, 6:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 17:50:01 CET 2015 17:50:02 up 1 day, 6:26, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 18:00:01 CET 2015 18:00:01 up 1 day, 6:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 18:10:01 CET 2015 18:10:01 up 1 day, 6:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 18:20:01 CET 2015 18:20:01 up 1 day, 6:56, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 18:30:01 CET 2015 18:30:01 up 1 day, 7:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 18:40:01 CET 2015 18:40:01 up 1 day, 7:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 18:50:01 CET 2015 18:50:01 up 1 day, 7:26, 0 users, load average: 0.00, 0.01, 0.05
